"Localidade";"Variável";"2012"
"Goiânia";"Vítimas em Acidentes de Trânsito - Morte no Local  (número)";"125"
"Goiânia";"Vítimas em Acidentes de Trânsito - Morte Posterior (número)";"185"
"Jataí";"Vítimas em Acidentes de Trânsito - Morte no Local  (número)";"20"
"Jataí";"Vítimas em Acidentes de Trânsito - Morte Posterior (número)";"6"
